State, National, Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming, 
Maryland, 4.63644960656394, 8.431571359932096, 6.3689824870631, 6.125903197923448, 8.896278458988943, 6.293327813529116, 4.270655508962583, 3.938097136524803, 5.143008725316688, 14.018188518751199, 6.172138233693095, 5.733037088896091, 8.638475662482525, 8.75869690068574, 4.599538697755227, 8.125723821524245, 8.114751654469234, 6.781211528735655, 8.985450224226074, 8.220980874238602, 9.085992289816492, 0.0, 3.7987032805981307, 7.5270101607833375, 5.663905962010487, 9.589839141114425, 7.157295102495299, 8.350085005858755, 6.93611650859174, 6.488743850218635, 6.744018613794474, 3.608906806115949, 8.585321921049749, 6.560037256634497, 6.174951949603989, 7.546492542755202, 7.371013375258893, 8.06147233637855, 5.719024683215736, 5.982165110843186, 5.424433727821827, 7.211780230192331, 8.581502214452689, 7.396233952175296, 6.8942030645479395, 8.486340606709048, 7.792421408096572, 2.870795484101205, 4.351250192473537, 10.506611221411514, 7.669247615073201, 8.425585706912212, 
Massachusetts, 5.047197914830721, 9.296409659704702, 8.128869741877715, 6.55267818567608, 9.46733559060719, 6.339234696144406, 5.186698637571025, 2.4732614918950353, 5.9503654819005085, 13.567227097008471, 6.481277333416411, 7.3185736807499335, 9.161670387881095, 9.11648896315078, 4.6255998790703545, 8.238871389120634, 7.958975295551438, 6.976110056465923, 9.1751523504975, 9.219319415414224, 8.489954630396529, 3.7987032805981307, 0.0, 7.089898921114866, 5.7638631028089975, 10.50111647724809, 7.466911622653075, 8.703003794301063, 7.200270452531877, 7.3411611806296015, 5.627489908453863, 3.477498036062056, 9.2006174205418, 5.367649771221573, 6.912047038661872, 7.670722630191738, 7.246917032237475, 8.889420940276327, 5.534941327258207, 5.509318655316972, 3.2977752516558176, 8.027758517931296, 8.931963175305027, 8.00236749046449, 8.145983339525083, 8.698701326248425, 6.666350544702324, 4.983696209056227, 4.995873223367058, 10.615370377645657, 7.266689151984982, 9.113027717006323, 
Michigan, 4.240178129541256, 4.4617250736072105, 7.762238148533831, 5.283962133611812, 4.0682765948435735, 9.240064945728761, 6.649583789713819, 5.355997666699458, 4.291670905683306, 18.836339003209154, 6.081236973686769, 5.442845689679733, 11.331357566042081, 5.693799550889299, 4.455643860100725, 2.163376648289205, 2.9459821287130645, 2.944900778927054, 3.8046912782070814, 5.733752156336913, 5.811221772588372, 7.5270101607833375, 7.089898921114866, 0.0, 4.228905992055703, 5.792450929571039, 2.4267174539088017, 5.4185335488430395, 3.8658372575729065, 6.981170441733871, 5.493310051972709, 7.452842811854212, 7.285028521283117, 9.200680723908363, 3.33680887810659, 5.759209427195164, 1.5652378444346515, 4.567259437575952, 4.4010962858625735, 2.7308638306781727, 4.971708354000966, 3.618399755999989, 4.626110269171833, 3.291282277433554, 7.484881590199548, 8.73434998036365, 4.879252493538888, 6.508080396610335, 5.957446780870903, 5.5164250200758715, 2.9386551963431295, 6.399746361682764, 
Minnesota, 4.016213687756038, 7.173348830997903, 5.946250107934261, 5.5861467768921855, 6.502153893677097, 8.122163013200678, 4.312316963941152, 4.360285803909436, 5.4944395356056335, 17.420693263061803, 6.764989084996751, 5.979820268588647, 10.062252902137024, 6.307136282749973, 3.5082027751620073, 4.400627729918153, 3.3758892422780864, 3.0816969406815877, 6.4073505988442285, 7.4376586890033005, 7.245495321020162, 5.663905962010487, 5.7638631028089975, 4.228905992055703, 0.0, 8.404394819104905, 3.9960058722071907, 5.679372196125993, 2.6486141484462276, 6.443247870670019, 5.300520200704871, 5.638291543480908, 8.461497521138227, 8.240734134476233, 4.998876680280867, 4.021561507774234, 3.8958840943415605, 5.842774374063014, 3.7847552291105346, 3.4107793515986744, 5.360830361140699, 5.95139502379494, 4.447680419243413, 5.435797443265779, 7.062833268742723, 7.897529660107797, 6.168688339316214, 5.194899993148823, 3.7573834175452574, 8.033987683441463, 2.673544768540662, 6.03511142241186, 
Mississippi, 6.320690083616103, 2.521334571901838, 8.283899930786184, 6.83563138289013, 3.2399029583819394, 10.615967792308854, 9.165150914714815, 9.268935405704891, 6.024726254415646, 19.869268091025777, 7.383347475719376, 4.574320353493457, 12.66498311755373, 6.608715739312886, 7.174626753286731, 5.039725995506367, 7.112117711730094, 6.29461566264602, 3.8637552593398197, 2.331640923979731, 8.726945883000203, 9.589839141114425, 10.50111647724809, 5.792450929571039, 8.404394819104905, 0.0, 5.275061196798298, 7.564154958073641, 7.172810144507196, 7.491105012460933, 9.849119476369836, 10.156536034625807, 6.96308790316748, 10.676022508863525, 4.3152233684383585, 8.50179863448624, 5.530876682190049, 4.227704217228635, 7.396189285220423, 6.852447901449873, 8.459266770566956, 3.5309433777270476, 7.057812021522134, 3.7419046333806274, 7.178734330745205, 9.830566189217805, 8.516089489216737, 8.474777624908967, 8.724335572890862, 5.4029196522959, 7.614936670115197, 7.791976177807968, 
Missouri, 3.8092163595593225, 3.8410026011741234, 6.17176209906735, 4.564756353984982, 2.8744330908367846, 9.326730056764099, 5.707708972632896, 5.876129740041585, 3.946617525632907, 18.888035767505098, 5.548470224620993, 4.751209767394086, 10.934416571577444, 4.278239784191218, 4.594475541643554, 2.1103838569251927, 2.515713622156716, 1.8740022761667383, 2.9912608987977465, 4.809174007255794, 5.181463264166163, 7.157295102495299, 7.466911622653075, 2.4267174539088017, 3.9960058722071907, 5.275061196798298, 0.0, 3.4934823793705516, 2.732969618884204, 6.061778468337193, 5.502434539004279, 7.666616738129064, 6.5888765519422465, 9.246574125730731, 2.4897954051484654, 4.613647931765874, 1.46628648409644, 2.883278058792402, 3.4557183641479963, 2.744683334274331, 5.612529025474096, 2.7185076009697315, 3.1337275754634275, 2.2372693381050612, 6.859373304367431, 8.350362044234416, 4.766170931990549, 5.709165576155887, 5.048280101006666, 4.334505524177516, 3.117298149159223, 4.486636502145328, 
Montana, 5.78380057307674, 6.219450564661821, 6.198703558216977, 5.472470886567663, 4.864463394579952, 10.690079814377773, 6.307596421554379, 7.2354800462868925, 5.479016243888878, 20.275877966542733, 6.253507875027489, 7.180060767493113, 11.177326760958774, 4.092320919211773, 6.938284303138404, 5.1844337359607735, 4.030753696782015, 3.936610290326041, 5.211414421344717, 6.829641350138901, 3.9160841794364463, 8.350085005858755, 8.703003794301063, 5.4185335488430395, 5.679372196125993, 7.564154958073641, 3.4934823793705516, 0.0, 4.013091593005805, 6.935260839667872, 5.367449676834544, 9.162646453497189, 7.178467852846806, 10.701869337775081, 5.139418737293418, 4.817320698810532, 4.678451834916619, 4.189059412023024, 4.472078751854443, 4.686105791166183, 7.021454307433214, 5.16060651991562, 3.39228498182115, 4.918986079101839, 8.374733975601306, 9.270183619403001, 4.590400953504457, 6.6985311134028676, 5.737428596781951, 4.442106078100369, 5.201616621051525, 2.371577657228484, 
Nebraska, 3.940213548194388, 6.277159318747388, 5.195869374418515, 4.543237572309274, 4.93591120054628, 8.62318097884481, 4.617394906029953, 5.692849397284117, 5.530051385630286, 18.647257556802096, 6.413116758532646, 5.702409145554904, 10.605425500288904, 4.462256566659461, 4.262868799923878, 3.39228072151094, 2.148803237912941, 1.4685468519866964, 5.2108239498566595, 6.163755617134418, 6.51181322729958, 6.93611650859174, 7.200270452531877, 3.8658372575729065, 2.6486141484462276, 7.172810144507196, 2.732969618884204, 4.013091593005805, 0.0, 5.8238918057596125, 5.8134269529880775, 7.133878730554257, 6.891323717277358, 9.113178628739062, 4.363065105100889, 3.0294127566049442, 3.2200214258900868, 3.8769324952102315, 3.46667469896469, 3.4894900250902166, 5.768804797727326, 5.118719116234047, 2.3711537491222985, 4.516522252029474, 6.33886738969245, 7.622414845326215, 5.86898460791809, 5.9090202154452065, 4.293161733453322, 6.40625533338712, 2.5187295387273694, 4.138456055797062, 
Nevada, 3.439570363851818, 7.062233584439035, 5.140679202973525, 3.0288616755349937, 6.177689743906118, 4.979600144286119, 5.125746192738799, 6.577159687314351, 6.190720597042512, 17.507705557527093, 4.1785446944292275, 4.899903500875438, 7.444031356697277, 6.174712338444296, 4.5049760547029685, 6.544223192875271, 7.1317971101761035, 5.617413945354951, 6.853500017858907, 5.952080136942312, 8.813405314625932, 6.488743850218635, 7.3411611806296015, 6.981170441733871, 6.443247870670019, 7.491105012460933, 6.061778468337193, 6.935260839667872, 5.8238918057596125, 0.0, 8.387191962313228, 5.746507857179535, 4.986441603884105, 7.0376839837217, 5.193692040170902, 7.152686912261945, 6.5099278109081045, 4.9746623257344265, 4.356840045335401, 6.1177509359343825, 6.432885676451627, 6.025860063548065, 6.877468504069872, 5.820320067802618, 3.38481245232708, 8.040405627504308, 8.50302693321009, 5.843579139176482, 4.43654862889029, 7.97124916337933, 7.086179498604635, 6.78662202461215, 
New Hampshire, 6.002678369551258, 8.046128878614732, 8.065404477470956, 6.671556409725743, 7.769281296194874, 9.836108001808014, 5.973254187703319, 4.4264860747521, 5.156622135378946, 18.47119953635762, 6.826146410687444, 8.10606560485188, 10.795421241022025, 6.646909170339471, 6.532680941111785, 6.5985924166835686, 5.539572525473818, 5.352976509959076, 7.327895463853435, 9.248835257568798, 3.82675317599721, 6.744018613794474, 5.627489908453863, 5.493310051972709, 5.300520200704871, 9.849119476369836, 5.502434539004279, 5.367449676834544, 5.8134269529880775, 8.387191962313228, 0.0, 7.251885862640363, 9.303723622209668, 9.751369242263037, 6.2156639537611085, 6.8298273985473745, 5.779082143504076, 7.486035723018445, 4.838511322683904, 4.63314925240404, 4.93956555365685, 6.818569008644302, 6.828221928996857, 6.645288758508598, 9.603673664865703, 8.717029689640892, 2.668442065661065, 5.738911404637778, 5.398112129310003, 7.860727042073665, 5.904375630566732, 6.268257508253918, 
New Jersey, 4.4320271155675535, 9.176722525898374, 7.48788553731821, 6.007179598005585, 9.205211420479493, 4.409081929117429, 5.133339581895054, 3.414912414841813, 6.248944653578504, 14.672471463290611, 5.879640922846494, 6.521744551892369, 8.021453709644131, 9.053320081109266, 3.725152416954866, 8.085247968810986, 8.093518369105459, 7.02854646029987, 9.170691607306496, 8.778668580843418, 9.674871947882572, 3.608906806115949, 3.477498036062056, 7.452842811854212, 5.638291543480908, 10.156536034625807, 7.666616738129064, 9.162646453497189, 7.133878730554257, 5.746507857179535, 7.251885862640363, 0.0, 8.696231974448299, 5.069218382825103, 6.838868545871274, 8.05300198145044, 7.542756388407, 8.485591323936276, 5.728376653958237, 6.048222480546371, 5.049578748900493, 7.986759305646523, 8.911600678481932, 7.86555649142071, 6.428404888178034, 8.519937367370908, 8.363423478123815, 5.189270418033576, 4.746508817652683, 10.822733195020852, 7.454629021971456, 9.256717945536654, 
New Mexico, 5.488075404207315, 6.963014192914528, 7.611475567662119, 3.3041495303862116, 6.169108542392004, 7.854973443965957, 7.295370442836117, 8.080595433459857, 6.692945412394566, 18.922453416493404, 4.851607649843785, 6.41185565829944, 10.85563410035476, 6.779707336926526, 6.711602438922696, 7.2601645714380005, 7.833575450004652, 6.468830635692222, 7.27564808225987, 5.852159898977798, 8.753577105214275, 8.585321921049749, 9.2006174205418, 7.285028521283117, 8.461497521138227, 6.96308790316748, 6.5888765519422465, 7.178467852846806, 6.891323717277358, 4.986441603884105, 9.303723622209668, 8.696231974448299, 0.0, 9.645762297326478, 5.886222988722562, 8.22541017148353, 7.0743879068961215, 5.145394273096116, 6.4234820940081905, 6.946192352719573, 7.119963225492099, 6.193906098136826, 7.408821705319838, 6.50900989859051, 5.174592805676789, 9.815467952060871, 8.5637693847228, 7.707318898580477, 7.343891102487443, 7.411690235410718, 8.10849868693776, 7.249057386251931, 
New York, 6.345739498019795, 10.222595142814553, 9.339985366974465, 7.794128851313675, 10.250611283937266, 6.1347842809345, 7.772014311961581, 6.413683824579908, 8.179971208845286, 12.245904869969161, 7.0775074442949135, 8.020970950977945, 9.173864004767715, 10.887559996845336, 5.762547026749652, 9.812090732028338, 10.037973870124581, 9.093747073649848, 10.117492285692709, 8.97384357102678, 11.30625981320049, 6.560037256634497, 5.367649771221573, 9.200680723908363, 8.240734134476233, 10.676022508863525, 9.246574125730731, 10.701869337775081, 9.113178628739062, 7.0376839837217, 9.751369242263037, 5.069218382825103, 9.645762297326478, 0.0, 8.385506548872536, 8.9774828996171, 8.902155951381697, 9.78742621690344, 7.462749080738208, 7.490664592597768, 6.1104880552099194, 9.269501154556727, 10.323508881880029, 9.22043870449145, 8.183508702250501, 10.854861724631856, 9.809956937190416, 7.9401208198816615, 7.341854638792538, 11.420102308426955, 9.159935396410454, 11.0190821041516, 
North Carolina, 2.890341316767459, 2.7696121479189326, 6.125984693301802, 3.9665582985096632, 2.996815734684046, 8.172737885190156, 5.39360961483038, 5.640850934905955, 3.0956882811027246, 17.773482169146277, 4.656830458583092, 2.716791409141331, 10.39909014625871, 4.863261733245461, 3.980026174654946, 3.1373124081181776, 4.747573379347252, 3.2334085270274286, 3.085234729856934, 3.833992006620363, 6.175193258033465, 6.174951949603989, 6.912047038661872, 3.33680887810659, 4.998876680280867, 4.3152233684383585, 2.4897954051484654, 5.139418737293418, 4.363065105100889, 5.193692040170902, 6.2156639537611085, 6.838868545871274, 5.886222988722562, 8.385506548872536, 0.0, 6.287751545097955, 2.862842910363878, 3.136082349203921, 3.5197464270728203, 3.634202603730671, 5.34683848830318, 1.5158760368737594, 5.31254775443103, 1.4385001301062215, 5.680795778097031, 7.815063067296184, 5.620323144857304, 4.654989188227503, 4.830221573072134, 5.1948241157630255, 4.906410657490882, 5.8059951916303145, 
North Dakota, 5.553497379766417, 7.891970315697291, 5.66166324569561, 6.245012424610066, 6.693196592175155, 9.651350899484086, 5.939288648802682, 6.593821037828214, 6.681482236410282, 18.041508795197903, 7.602350796467643, 7.378805292065173, 10.751709289438732, 6.395927728708938, 5.684907250574544, 5.702880206439711, 3.9109551270394767, 4.1888820059709415, 7.043111138039263, 7.09700914415384, 7.516920069212766, 7.546492542755202, 7.670722630191738, 5.759209427195164, 4.021561507774234, 8.50179863448624, 4.613647931765874, 4.817320698810532, 3.0294127566049442, 7.152686912261945, 6.8298273985473745, 8.05300198145044, 8.22541017148353, 8.9774828996171, 6.287751545097955, 0.0, 4.985456142087091, 5.624316382184243, 5.227276845189574, 4.46076241157492, 6.418952031663681, 6.784820077798629, 2.8869213813465406, 6.448586528109856, 7.999988494053166, 9.290909591812415, 6.6393115856811304, 7.149371466070453, 5.638178049845848, 7.5045295826097655, 3.9482781175558417, 4.824873505085895, 
Ohio, 3.974114228550645, 4.121459698875999, 7.141974938300417, 5.0431883199083245, 3.4569452280386925, 9.340145159015574, 6.182202868894373, 5.70599133192133, 4.345225379860947, 18.47796653162242, 5.840177673016415, 5.054131401934169, 11.226065869381983, 5.377982632238744, 4.291145763344449, 1.9088656767794878, 2.6708789895768223, 2.4500395830667814, 3.2519722417129917, 5.227393075462537, 5.821652264149648, 7.371013375258893, 7.246917032237475, 1.5652378444346515, 3.8958840943415605, 5.530876682190049, 1.46628648409644, 4.678451834916619, 3.2200214258900868, 6.5099278109081045, 5.779082143504076, 7.542756388407, 7.0743879068961215, 8.902155951381697, 2.862842910363878, 4.985456142087091, 0.0, 3.8977831074564406, 3.7984972274746673, 2.4456202521128416, 5.340272416092296, 3.1478501101708987, 3.8217674113684468, 2.701046942279698, 7.261592109326376, 8.855779993216764, 5.068035944139203, 6.161579998015924, 5.470652455224995, 4.931605940880201, 2.4879768895962875, 5.817704860526235, 
Oklahoma, 4.216542183178062, 3.8718504564764746, 5.320382221077075, 4.023454920047541, 2.1064013747870023, 8.960063887435604, 6.220708619356722, 7.4679499765848805, 5.126752052648958, 19.703013337098117, 5.652113518968684, 4.312035655783541, 10.735332855210027, 3.2904235830832596, 5.4865710285870035, 3.4034168881081417, 4.423904285244341, 3.227383461699247, 3.280906568293292, 3.4609393739587495, 6.58882129910355, 8.06147233637855, 8.889420940276327, 4.567259437575952, 5.842774374063014, 4.227704217228635, 2.883278058792402, 4.189059412023024, 3.8769324952102315, 4.9746623257344265, 7.486035723018445, 8.485591323936276, 5.145394273096116, 9.78742621690344, 3.136082349203921, 5.624316382184243, 3.8977831074564406, 0.0, 4.407461355862099, 4.935699314552723, 6.899118719197987, 3.2046984892112453, 3.8926652086306164, 2.7590323902250167, 5.4124769154266605, 7.902964144263144, 6.646054207241413, 6.557789178620297, 5.756559945393242, 4.336662228867452, 5.27774298003984, 4.155283597148687, 
