State,25 to 34 years,Median age (years),65 years and over,Hispanic or Latino (of any race),White alone,Black or African American alone,Asian alone,Average household size,Females 15 years and over - Never married,College or graduate school (enrolled),Percent bachelor's degree or higher,Civilian veterans,Foreign born,American,English,German,Median household income (dollars),Per capita income (dollars),Poverty All people,"Management, business, science, arts occupations","Natural resources, construction, maintenance occupations","Professional, scientific, and management, administrative services",Manufacturing,"1-unit, detached",20 or more units,Renter occupied,No vehicles available,Median home value (dollars)
Florida,-0.4621369521,1.548527212,2.203903621,1.326856668,-0.8784113241,0.4163705185,-0.2709603323,0.5240191527,-0.2462420725,0.3902885654,-0.3111895536,0.412083045,1.829790183,0.4240391382,-0.503936505,-0.6617633459,-0.7341713409,-0.3692275871,0.3000684574,-0.5637281182,0.0800923781,0.8784934123,-1.205743681,-0.8794559533,0.9655504307,0.0636198297,-0.2900534172,-0.004204506017
Georgia,1.234177507,-0.6657602452,-1.341064161,-0.2330483028,-0.9528145637,1.911202934,-0.06729501026,0.8234586685,0.4533463322,-0.5723203865,-0.1194992462,-0.03169869577,0.1027413996,1.223352914,-0.4256356138,-0.9452563889,-0.3370579636,-0.4056187351,0.6121396531,-0.1635388739,-0.2575944052,0.5284423975,0.1736270901,0.3548954998,-0.2549721917,0.498415923,-0.2712703814,-0.5405963583
Hawaii,0.3860202776,0.3562185814,0.9869743825,-0.1453036482,-2.862497714,-0.8975586112,6.116724768,2.620095763,-0.2038427753,0.3100711528,0.1999845996,1.172851743,1.458555398,-1.422651309,-1.313045714,-1.021581439,1.618528556,0.4402892732,-1.260287521,-0.7838322026,0.1926546392,-0.1716596323,-1.682253584,-1.071691016,1.968719709,1.330199754,0.01047515454,2.719683231
Idaho,0.2446607393,-0.8786725007,-0.3357747899,0.03993506717,0.8700648068,-0.992770867,-0.5486857715,0.7036828622,-1.115427666,-1.214059688,-0.77444113,0.4754804365,-0.5913062423,0.01060097845,2.262694985,0.1232943116,-0.7765267243,-1.152300246,-0.1160264702,-0.6837848915,1.937369686,-0.4166953427,0.02315027868,1.194659193,-0.6729593911,-0.7870681789,-0.7408462747,-0.08846114193
Illinois,0.6687393542,-0.1547708319,-0.3886847568,0.5079065586,-0.4195913465,0.2830733604,0.2104304289,0.1048038305,0.6441431698,-0.1979724607,0.439597484,-1.363043918,0.7645077558,-0.7335877091,-0.8171400699,0.2541372545,0.351105918,0.4990425848,-0.1853756248,-0.04348210058,-1.101811364,0.35341689,0.5498191186,-0.4140447497,0.4639657914,-0.12542195,0.5739662265,-0.2392780241
Indiana,-0.1794178755,-0.2825181852,-0.282864823,-0.4962822667,0.6964572477,-0.1739454673,-0.382050508,-0.3144114916,-0.3522403157,-0.599059524,-0.77444113,-0.2218908704,-0.6881500993,0.6169769461,-0.2168332372,0.603051769,-0.5553333433,-0.7011109127,0.1266955709,-0.7238038159,-0.3138755358,-0.6617310531,2.255222981,1.002424131,-0.5893619512,-0.6547389331,-0.23370431,-1.074968762
Iowa,-0.7448560286,-0.02702347859,0.4049647466,-0.5937763274,1.111875336,-0.7356977764,-0.3079903909,-0.9731784264,-0.7126343423,-0.01079849786,-0.4389830919,-0.3486856535,-0.6881500993,-0.4579622692,-0.3212344255,1.889674041,-0.08675183128,-0.1536973825,-0.8441925935,-0.5036997316,0.3614980309,-1.116797372,1.201885301,1.08336521,-0.3720086075,-1.14624756,-0.4215346673,-0.9331923369
Kansas,-0.3207774138,-0.7083426963,-0.282864823,-0.008811963179,0.4918483388,-0.5262308137,-0.252445303,-0.4341872979,-0.90343118,-0.1979724607,0.3277781379,0.03169869577,-0.4298998139,-0.09964919747,0.226871813,1.028291333,-0.3115214652,-0.3038203927,-0.4280976659,0.1766219838,0.02381124754,-0.4517004442,0.6250575243,0.9619535914,-0.5224839993,-0.06870941608,-0.4966668102,-0.9074582042
Kentucky,0.1033012011,0.228471228,-0.01831498854,-0.8277620731,1.031271826,-0.2882001742,-0.5301707422,-0.4341872979,-0.8822315313,-0.6792769367,-1.221718514,-0.1584934788,-0.9302597418,2.408542305,0.3834735954,-0.2147166243,-1.237202502,-1.058137079,1.409654931,-0.9038889759,-0.08875101357,-0.6967361546,1.22696477,0.4156013089,-0.789995807,-0.1821344839,-0.1022230598,-1.076791392
Louisiana,0.2446607393,-0.6657602452,-0.5474146575,-0.6620221699,-0.5869986356,2.00641519,-0.4561106251,0.2245796369,0.8561396561,-0.9734074498,-1.253666899,-0.7924673942,-0.8818378133,0.3964765942,-0.8954409611,-0.9234492317,-1.521113501,-1.274394894,2.276519364,-0.9238984381,1.205714989,-0.5217106472,-0.5285980298,0.2132486117,-0.5559229753,0.0636198297,0.1419564047,-0.7119457011
Maine,-1.593013258,2.655670941,2.150993654,-1.013000788,1.576895583,-0.9356435135,-0.58571583,-1.092954233,-0.8610318827,0.3100711528,0.07219106131,1.109454352,-0.9948223131,0.1759762423,2.654199441,-0.7598955531,-0.3270013829,-0.1078461717,-0.7054942843,-0.263586185,0.9243093364,-0.4517004442,-0.3028828127,0.7596008942,-0.723117855,-1.448714408,-0.1961382385,-0.2938226595
Maryland,0.5273798159,0.1433063258,-0.5474146575,-0.1843012724,-1.070619693,1.749342099,0.3955807217,0.5839070558,0.7077421157,0.6309408034,1.286229675,-0.03169869577,0.9259141841,-0.4028371813,-0.4256356138,-0.2910416743,1.847057838,1.491155272,-1.329636676,1.577284339,-0.8204057108,1.75362095,-1.381299961,-1.203220269,0.1797344958,-0.2199428398,0.1983055119,0.9691804867
Massachusetts,-0.3207774138,0.4839659347,0.08750494525,-0.01856136925,0.2190364602,-0.38341243,0.4326107802,-0.2545235884,1.004537196,1.807462856,1.87727479,-1.553236093,1.184164469,-0.7335877091,0.1746712189,-1.032485017,1.589060387,1.781073384,-0.9135417481,1.617303263,-1.326935886,1.123529123,-0.227644407,-1.112161555,0.4974047673,0.6118409908,0.8557117625,1.508222711
Michigan,-1.168934643,0.611713288,0.4049647466,-0.671771576,0.4360459091,0.2449884581,-0.2154152445,-0.6138510074,0.1777509,0.2031146026,-0.4070347074,-0.5388778281,-0.3976185283,-0.2925870054,0.04416973351,0.395883776,-0.4750411441,-0.2319713637,0.369417612,-0.263586185,-0.7641245802,-0.3466851397,2.28030245,0.9518359566,-0.4723255354,-1.089535026,-0.06465698838,-0.8218402766
Minnesota,0.2446607393,-0.197353283,-0.282864823,-0.6522727638,0.7398591375,-0.4405397835,0.1178552825,-0.3742993948,-0.1402438294,-0.4386246987,0.7111587529,-0.5388778281,-0.1393682429,-0.898962973,-0.8432403669,1.846059727,0.8455390129,0.8540181297,-1.260287521,0.5568017659,-0.7078434497,-0.2416698353,0.9009316785,0.4156013089,0.731477599,-1.14624756,-0.2149212742,0.1132048645
Mississippi,0.3860202776,-0.3676830874,-0.1770448892,-0.8862585095,-0.704803765,2.558646273,-0.6227458886,0.4042433463,0.5381449267,-0.6525377991,-1.557176552,-0.412083045,-1.188510027,1.306040546,-0.503936505,-1.16332796,-1.872200632,-1.993605928,2.311193941,-1.103983598,0.7554659448,-1.081792271,0.8507727414,0.557248197,-0.9237517108,-0.5602180433,-0.2900534172,-1.48710138
Missouri,-0.7448560286,0.05814142363,0.2991448128,-0.7595162306,0.7088577877,0.03552149542,-0.4190805665,-0.5539631043,-0.4370389102,-0.4386246987,-0.4070347074,0.4754804365,-0.8656971705,0.4791642262,-0.06023145478,0.7993161833,-0.6226602656,-0.4551871316,0.09202099361,-0.2235672605,-0.3138755358,-0.3816902412,0.4244217758,0.7494832594,-0.5392034873,-0.2766553737,-0.2149212742,-0.805381716
Montana,-0.7448560286,0.6968781902,1.145704283,-0.808263261,1.136676415,-1.011813318,-0.6597759471,-1.03306633,-0.9882297745,-0.8664508996,0.1041394459,1.680030876,-1.188510027,-0.2650244614,0.7227774574,1.028291333,-0.644256823,-0.457351055,-0.2200502021,-0.5237091938,1.430839511,-0.7667463576,-1.180664213,0.6887774502,-0.773276319,-0.692547289,-0.5154498459,0.1956497695
Nebraska,-0.1794178755,-0.7935075985,-0.282864823,-0.1063060239,0.6840567078,-0.6214430694,-0.3450204494,-0.6138510074,-0.5218375047,-0.2247115983,0.00829429215,0.09509608731,-0.3330559569,-0.843837885,-0.2690338314,1.97690267,0.05535134172,-0.143388096,-0.8095180162,-0.0634915628,0.3052169003,-0.5917208501,0.1485476215,0.9619535914,-0.1713747518,-0.144326128,-0.440317703,-0.8201896709
Nevada,1.234177507,-0.1547708319,-0.3357747899,1.638837663,-1.188424823,-0.202509144,0.7473662779,0.7036828622,-0.03424558624,-1.026885725,-1.077950784,0.5388778281,1.668383754,-0.7335877091,-0.3995353167,-0.5418239816,-0.1452724595,-0.2995963073,-0.0466773156,-1.824324238,-0.2013132747,0.07337607812,-1.306061555,-0.3128684011,0.1797344958,1.689379135,-0.1210060956,0.4784884044
New Hampshire,-1.593013258,2.059516626,0.8811544487,-0.7985138549,1.384687214,-0.9261222879,-0.2894753616,-0.7336268137,-0.5854364506,0.7646364912,0.8389522912,0.412083045,-0.5428843138,-0.6784626211,2.236594688,-0.6617633459,1.269455611,1.210436216,-1.884429913,0.7368869258,-0.3138755358,0.2133964841,0.4745807129,0.1120722631,-0.1379357758,-0.8059723568,-0.5154498459,0.531700037
New Jersey,0.6687393542,0.611713288,-0.1241349223,0.8198875528,-0.8164086244,0.1688186535,1.025091717,0.9432344748,0.4109470349,-0.1444941856,1.286229675,-2.123812616,2.136462397,-0.843837885,-0.9998421494,-0.5854382959,1.795599863,1.587175296,-1.086914635,0.9770004724,-1.270654755,0.9485036153,-0.3781212184,-0.9502793974,0.4472463034,0.3282783213,0.6303153337,1.147151844
